Date,Precipitation,Highest Temperature,Avg Humidity,,,*Temp is in F & humidity in %
Jun-18,0,100,68,,,
Jul-18,0,97,67.2,,,
Aug-18,0.03,96,72.6,,,
Sep-18,0,97,66.5,,,https://www.wunderground.com/history/monthly/us/ga/albany/KABY/date/2019-2
Oct-18,0,93,64.8,,,
Nov-18,0,82,82.7,,,
Dec-18,0,77,82.5,,,
Jan-19,0.02,80,83.6,,,
Feb-19,0,85,73.9,,,
Mar-19,0,81,66.7,,,
Apr-19,0,89,61.9,,,
May-19,0,100,40.9,,,
Jun-19,0,100,34.9,,,
Jul-19,0,97,72.9,,,
Aug-19,0,98,65.9,,,
Sep-19,0,101,64.8,,,
Oct-19,0,99,57.9,,,
Nov-19,0,80,64,,,
Dec-19,0,89,70.5,,,
Jan-20,0.12,81,88.2,,,
Feb-20,0,81,85.3,,,
Mar-20,0,90,80.3,,,
Apr-20,0.54,90,73.7,,,
May-20,0.9,92,74.6,,,
Jun-20,0,95,64.2,,,
Jul-20,0,100,61.8,,,
Aug-20,0,98,62,,,
Sep-20,0,97,66,,,
Oct-20,0,91,72,,,
Nov-20,0.21,87,90.7,,,
Dec-20,0,77,74.4,,,
Jan-21,0,79,79.8,,,
Feb-21,0,87,82.3,,,
Mar-21,0,91,82.4,,,
Apr-21,0,92,57,,,
May-21,0,96,52.3,,,
Jun-21,0,101,59.3,,,
Jul-21,0,99,67.7,,,
Aug-21,0,98,68.8,,,
Sep-21,0,94,72.8,,,
Oct-21,0,91,70.7,,,
Nov-21,0,84,73.5,,,
Dec-21,0.03,85,77.3,,,
Jan-22,0,86,83.3,,,
Feb-22,0.01,86,75.3,,,
Mar-22,0,89,53.5,,,
Apr-22,0,89,64.6,,,
May-22,0,99,47.9,,,
Jun-22,0,102,48.9,,,
Jul-22,0,97,68.3,,,
Aug-22,0,96,67.6,,,
Sep-22,0,95,66.2,,,
Oct-22,0,87,58.4,,,
Nov-22,0,86,77.1,,,
Dec-22,0,81,88,,,
Jan-23,0.01,78,72.8,,,
Feb-23,0,85,68.3,,,
Mar-23,0.1,85,75.8,,,
Apr-23,0,89,79.4,,,
May-23,0,91,58.8,,,
Jun-23,0,95,64,,,
Jul-23,0,97,73.5,,,
Aug-23,0,103,60.1,,,
Sep-23,0,93,77.1,,,
Oct-23,0,87,64.9,,,
Nov-23,0,82,67.1,,,
Dec-23,0,79,78,,,
Jan-24,0.08,79,87.8,,,
Feb-24,0,81,74.6,,,
Mar-24,0,83,78.2,,,
Apr-24,0,86,59,,,
May-24,0,92,70,,,
Jun-24,0,101,63.1,,,
